Key,Count
capital_city,1
traffic_sign:direction,18
COM_ID,2
fuel:biodiesel,6
name:vro,1
residential,3
old_name,38
beacon:frequency,1
old_name:ja,1
country_code_iso3166_1_alpha_2,1
bus,313
country,22
name:pam,1
lamp_type,28
old_official_name:mk,1
motorcycle,37
map_type,8
name:en2,1
diameter,1
name:chr,1
addr:floor,1
alt_name:uk,2
name:pap,1
military,5
dance:teaching,2
disused:amenity,5
name:vls,1
addr:unit,1
DIS_ID,2
historic:period,2
alt_name:vi,2
name:ace,1
support,9
alt_name:sq,15
name:grc,3
wheelchair,204
payment:credit_cards,44
old_name:mk,8
camera:mount,5
alt_name:sv,1
name:pcd,1
monument,2
alt_name:sr,3
recycling:glass_bottles,5
amperage,1
drive_through,46
disused:railway,2
alt_name:sh,1
outdoor_seating,131
camera:type,6
organic,21
internet_access:description,1
alt_name:tr,2
old_name:nn,1
old_name:nl,1
old_name:no,1
name_full_nd,1
consulate,4
addr:city,1045
voltage,1
location,29
comment,3
brand:en,2
service:bicycle:tools,2
name:xmf,1
socket:type2:output,15
type,4
gnadmin,4
hazard,1
payment:lightning_contactless,1
check_date:bench,5
abandoned,7
service:bicycle:repair,2
service:vehicle:Car_sales,1
wifi,5
natural,2122
free_flying:site,2
old_official_name:pt,1
old_name:pt,1
name:int,2
alt_name:ru,5
wikimedia_commons,21
name:language,1
books,1
diet:halal,4
name:ksh,1
addr:district,2
indoor,6
service:vehicle:body_repair,1
brand:wikidata,100
maxwidth,4
seasonal,1
button_operated,241
old_official_name:sr,1
old_official_name:sq,1
planned:highway,1
capacity,90
old_official_name:sl,1
place,2204
name:mzn,1
power,6373
VILL_ID,2
service:vehicle:muffler,1
name_full_nd:en,1
car_wash,1
alt_name:pl,2
facebook,7
hiking,29
alt_name:pt,1
generator:type,5
alt_name:po,1
fuel:octane_100,3
site,1
depth,1
check_date:currency:XBT,1
public_transport:version,64
diet:fruitarian,1
name:ceb,6
is_in:country,6
alt_name:mk,18
name:pt-BR,1
date,1
traffic_signals:direction,63
old_name:sl,1
contact:facebook,19
old_name:sr,3
cocktails,2
old_name:sq,1
craft,37
recycling:plastic_packaging,1
name:vec,1
old_official_name:ur,1
is_in:country_code,6
diet:vegetarian,13
barrier,771
name:ilo,1
alt_name:lt,1
mtb,11
name:vep,1
old_name:se,1
old_name:sk,1
route_ref,3
alt_name:nl,2
theatre:type,1
bench,144
old_name:tr,1
source_ref,6
drive_in,19
alt_name:no,1
old_official_name:tr,1
map_size,7
toilets,10
gnfeaturec,6
diet:lacto_vegetarian,1
covered,61
embassy,4
internet_access:type,1
name:koi,1
recycling:cans,1
note,46
repair,62
name:krc,1
old_name:ur,1
piste:difficulty,1
name_old,1
crossing:bell,2
railway:signal:main,9
alt_name:kk,2
network,219
motor_vehicle,36
service:vehicle:tires,1
cost,7
internet_access,342
man_made,329
service:vehicle:oil_change,3
fishing,1
cuisine,330
capital_ISO3166-1,1
traffic_sign:forward,13
source:maxspeed,1
contact:linkedin,1
clothes,22
service:vehicle:repairs,1
trade,2
airmark,2
old_name:vi,1
alt_name:la,1
old_official_name:vi,1
informal,5
wikidata,511
aeroway,17
